pid,label,acc_min_magnitude,acc_max_magnitude,acc_mean_magnitude,acc_median_magnitude,acc_std_magnitude,length_of_charge_minutes,num_rows_battery,avg_call_duration,std_call_duration,min_call_duration,max_call_duration,total_call_duration,number_rows_calls,number_incoming_calls,number_missed_calls,number_of_correspondents_phone,number_outgoing_calls,number_rows_messages,number_of_outgoing_messages,number_of_incoming_messages,number_of_correspondents,location_variance,location_variance_log,total_distance_meters,speed_mean_meters_per_sec,speed_var_meters_per_sec,location_entropy,location_entropy_normalized,max_len_stay_at_clusters_in_minutes,mean_len_stay_at_clusters_in_minutes,min_len_stay_at_clusters_in_minutes,std_len_stay_at_clusters_in_minutes,moving_time_percent,number_location_transitions,radius_of_gyration,number_of_clusters,time_at_cluster_1,time_at_cluster_1_in_group,time_at_cluster_2,time_at_cluster_2_in_group,time_at_cluster_3,time_at_cluster_3_in_group,unlocks_per_minute,number_of_minutes_interaction,number_of_minutes_unlock,max_len_minute_interaction_bout,min_len_minute_interaction_bout,mean_len_minute_interaction_bout,std_len_minute_interaction_bout,max_len_minute_unlock_bout,min_len_minute_unlock_bout,mean_len_minute_unlock_bout,std_len_minute_unlock_bout,time_of_day,day_of_week,study_duration,time_stamp,avg_latitude,avg_longitude,med_latitude,med_longitude,std_latitude,std_longitude,WTSD_latitude,WTSD_longitude,max_latitude,max_longitude,min_latitude,min_longitude,total_distance,speed_mean_sec,moving_time,number_location
P12,N,10.08148455,10.11648948,10.10449195,10.10542956,0.005787042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.08287482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1540876050,,,,,,,0,0,,,,,0,0,0,0
P12,N,10.00871707,10.12158335,10.10274463,10.10496734,0.009679071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.47158805,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1540876800,,,,,,,0,0,,,,,0,0,0,0
P12,N,10.00361818,10.11006262,10.09287337,10.09531803,0.009820471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7400509,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1540877700,,,,,,,0,0,,,,,0,0,0,0
P12,N,10.07795505,10.11895027,10.10191805,10.10299627,0.005973073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.81589317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1540878600,,,,,,,0,0,,,,,0,0,0,0
P12,N,10.0627375,10.11095574,10.09931054,10.10043033,0.005907787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.56207137,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1540879500,,,,,,,0,0,,,,,0,0,0,0
P12,N,10.07708197,10.11079618,10.09839015,10.09928865,0.005530053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74899504,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1540880400,,,,,,,0,0,,,,,0,0,0,0
P12,N,10.03482012,10.11011854,10.09171267,10.09331396,0.007647116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.51784981,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1540881300,,,,,,,0,0,,,,,0,0,0,0
P12,N,10.05501505,10.10368478,10.0901608,10.09115281,0.006085481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33789549,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1540882200,,,,,,,0,0,,,,,0,0,0,0
P12,N,10.06211426,10.10556484,10.0922253,10.09305169,0.005638177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.68966421,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1540883100,,,,,,,0,0,,,,,0,0,0,0
P12,N,10.07061188,10.10471044,10.09151606,10.09212095,0.005690702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.69700598,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1540884000,,,,,,,0,0,,,,,0,0,0,0
P12,N,10.04319299,10.10558254,10.09208047,10.09304139,0.006425647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.36011599,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1540884900,,,,,,,0,0,,,,,0,0,0,0
P12,N,10.06928565,10.10544576,10.09160909,10.09240135,0.005770764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.41977646,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1540885800,,,,,,,0,0,,,,,0,0,0,0
P12,N,0.98274151,0.992158808,0.987291644,0.987172917,0.001588101,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,1541228850,40.4,-80,40.4,-80,2.50E-05,0.000138744,0.022933409,0.021640868,40.4,-80,40.4,-80,68.48749327,0.129591283,0,72
P12,N,0.93346545,1.016721937,0.987563718,0.987596122,0.003048472,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.1162769,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,1541229600,40.4,-80,40.4,-80,7.24E-05,0.000169946,0,0.002357068,40.4,-80,40.4,-80,176.7237608,0.181435441,0,120
P12,N,0.963313798,1.020922453,0.987469093,0.987247616,0.003025857,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.6077926,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,1541230500,40.4,-80,40.4,-80,1.79E-05,3.25E-05,0.008827073,0.025598318,40.4,-80,40.4,-80,31.9918207,0.032606168,0,120
P12,N,0.983001716,0.992170155,0.987673057,0.987656446,0.001200311,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.093176,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,1541231400,40.4,-80,40.4,-80,1.45E-05,1.21E-06,0,0.002285567,40.4,-80,40.4,-80,15.98074953,0.017752457,0,120
P12,N,0.980066917,0.99787069,0.987657184,0.987670824,0.001564662,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.5699703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,1541232300,40.4,-80,40.4,-80,1.45E-05,1.06E-06,0,0.001449837,40.4,-80,40.4,-80,6.38753868,0.005914388,0,48
P12,N,0.978714318,0.991124456,0.987194456,0.987215054,0.001350228,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.0834454,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,1541233200,,,,,,,0,0,,,,,0,0,0,0
P12,N,0.982340909,0.990969104,0.987235336,0.987267986,0.001498881,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.5407426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,1541234100,,,,,,,0,0,,,,,0,0,0,0
P12,N,0.978375218,1.081340387,0.987491245,0.987189362,0.003722362,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.1642545,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,1541235000,,,,,,,0,0,,,,,0,0,0,0
P12,N,0.964186542,1.021430473,0.987203931,0.987166186,0.002338905,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.6072706,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,1541235900,,,,,,,0,0,,,,,0,0,0,0
P12,N,0.936489561,0.997180178,0.986680056,0.986990173,0.003350642,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.1242028,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,1541236800,,,,,,,0,0,,,,,0,0,0,0
